year,renewables_electricity,solar_electricity,wind_electricity,hydro_electricity,other_renewables_electricity
2000,2859.889892578125,1.0299999713897705,31.13999938964844,2629.6298828125,198.0900104045868
2001,2797.080078125,1.3700000047683716,38.18000030517578,2563.659912109375,193.87016570568085
2002,2874.22998046875,1.7100000381469729,52.220001220703125,2611.510009765625,208.7899694442749
2003,2900.31005859375,2.0999999046325684,63.18999862670898,2611.89990234375,223.12015771865845
2004,3131.590087890625,2.7799999713897705,85.45999908447266,2802.550048828125,240.80004000663757
2005,3281.47998046875,3.940000057220459,104.37999725341795,2911.7099609375,261.4500222206116
2006,3434.06005859375,5.409999847412109,133.1699981689453,3018.02001953125,277.4600410461426
2007,3543.18994140625,7.28000020980835,171.1199951171875,3062.719970703125,302.06997537612915
2008,3800.85009765625,11.84000015258789,220.80999755859372,3245.280029296875,322.92007064819336
2009,3883.43994140625,19.809999465942383,276.2200012207031,3241.199951171875,346.2099895477295
2010,4194.22021484375,32.209999084472656,345.92999267578125,3428.14990234375,387.9303207397461
2011,4399.4599609375,63.61000061035156,439.8999938964844,3488.0,407.94996643066406
2012,4726.64990234375,96.9800033569336,529.1900024414062,3660.090087890625,440.38980865478516
2013,5032.5498046875,131.9499969482422,634.0599975585938,3790.719970703125,475.81983947753906
2014,5290.259765625,197.75,706.02001953125,3870.64990234375,515.83984375
2015,5524.759765625,255.8699951171875,829.52001953125,3881.760009765625,557.6097412109375
2016,5868.8701171875,328.1400146484375,960.2000122070312,4014.60009765625,565.9299926757812
2017,6234.97021484375,445.1600036621094,1139.31005859375,4053.8798828125,596.6202697753906
2018,6647.7001953125,574.030029296875,1268.0,4176.91015625,628.760009765625
2019,7016.009765625,704.4000244140625,1420.800048828125,4228.7099609375,662.0997314453125
2020,7495.7900390625,855.22998046875,1591.3699951171875,4347.85986328125,701.3302001953125
2021,7953.64013671875,1053.489990234375,1856.6500244140625,4287.89990234375,755.6002197265625
2022,8530.509765625,1329.68994140625,2106.929931640625,4321.14990234375,772.739990234375
2023,8983.1396484375,1656.719970703125,2312.1298828125,4234.2998046875,779.989990234375
2024,9847.76953125,2130.639892578125,2497.25,4418.9599609375,800.919677734375
